iter	MultiClass
276	1.922577561
277	1.92252458
278	1.922463298
279	1.922428
280	1.922363896
281	1.922301084
282	1.922278617
283	1.922234452
284	1.922218306
285	1.922190915
286	1.922159627
287	1.9220941
288	1.922040497
289	1.921981222
290	1.921924238
291	1.921883721
292	1.921814437
293	1.921762333
294	1.921750033
295	1.921696818
296	1.921639686
297	1.921580073
298	1.921524381
299	1.921455394
300	1.921385189
301	1.921329706
302	1.921260943
303	1.921200231
304	1.921143793
305	1.921084385
306	1.921071887
307	1.921003592
308	1.920940642
309	1.920926311
310	1.920869481
311	1.920808853
312	1.920776314
313	1.920717334
314	1.920652747
315	1.920588755
316	1.920535074
317	1.920484352
318	1.920423234
319	1.920368154
320	1.920313251
321	1.920285071
322	1.920249409
323	1.920225349
324	1.920172609
325	1.920123225
326	1.92006616
327	1.920004465
328	1.919950603
329	1.919885967
330	1.91983365
331	1.91980707
332	1.919750485
333	1.919682854
334	1.919624511
335	1.919566741
336	1.919510895
337	1.91946232
338	1.919399213
339	1.919352808
340	1.919297695
341	1.919249698
342	1.919217386
343	1.919189922
344	1.919151021
345	1.919139458
346	1.919089334
347	1.919031694
348	1.918971945
349	1.918937915
350	1.918868105
351	1.918832678
352	1.918787251
353	1.918729911
354	1.91869485
355	1.918638594
356	1.918576878
357	1.918506511
358	1.91845211
359	1.918389743
360	1.918335476
361	1.918276626
362	1.91821857
363	1.918204157
364	1.918165834
365	1.918109859
366	1.918097337
367	1.918031285
368	1.917982412
369	1.917931963
370	1.917874642
371	1.917825183
372	1.917796191
373	1.917748953
374	1.91769398
375	1.91765994
376	1.917616902
377	1.917576838
378	1.917517829
379	1.91746535
380	1.917415788
381	1.9173655
382	1.917309751
383	1.917253388
384	1.917199953
385	1.917148997
386	1.917119922
387	1.91707238
388	1.917018521
389	1.916963854
390	1.916928745
391	1.916875043
392	1.916815894
393	1.916781496
394	1.916720726
395	1.916666852
396	1.916613105
397	1.916567054
398	1.91654544
399	1.91649869
400	1.916434047
401	1.916392185
402	1.916327821
403	1.916272073
404	1.916231537
405	1.91619992
406	1.916148791
407	1.916108282
408	1.916042112
409	1.916012875
410	1.916001511
411	1.915941785
412	1.915916979
413	1.915881076
414	1.915824272
415	1.915780033
416	1.915734702
417	1.915702164
418	1.915657116
419	1.915621501
420	1.915571476
421	1.915520977
422	1.915471181
423	1.915419166
424	1.91536039
425	1.915302107
426	1.91524834
427	1.915235356
428	1.915191095
429	1.915136046
430	1.915076492
431	1.915042259
432	1.915023343
433	1.91497477
434	1.914915862
435	1.914899035
436	1.91485119
437	1.914839766
438	1.914819402
439	1.914759832
440	1.914708782
441	1.914660461
442	1.914608496
443	1.914557246
444	1.914514218
445	1.914463932
446	1.914427103
447	1.914381074
448	1.914326092
449	1.914269612
450	1.914222558
451	1.914167056
452	1.914115778
453	1.914096343
454	1.914067097
455	1.914020399
456	1.913973146
457	1.913921186
458	1.913872166
459	1.913835327
460	1.913813582
461	1.913763616
462	1.913715531
463	1.913664333
464	1.913615862
465	1.913562417
466	1.91353796
467	1.913499926
468	1.913486122
469	1.913475444
470	1.913438299
471	1.913401154
472	1.913379205
473	1.913352673
474	1.913323013
475	1.913315823
476	1.91326873
477	1.913244517
478	1.913192439
479	1.91314081
480	1.913098499
481	1.913059358
482	1.913026956
483	1.912982181
484	1.912929893
485	1.912873613
486	1.912819754
487	1.912774274
488	1.91272245
489	1.91267084
490	1.91261503
491	1.912565872
492	1.912545939
493	1.912497916
494	1.912447372
495	1.912400573
496	1.912347691
497	1.912294056
498	1.912280848
499	1.912222349
